University,Motto,Language,Translation,text,country
University of Aberdeen,Initium sapientiæ timor domini,Latin,The beginning of wisdom is fear of the Lord,The beginning of wisdom is fear of the Lord,United_Kingdom
Aberystwyth University,"Nid Byd, Byd Heb Wybodaeth",Welsh,A world without knowledge is no world at all,A world without knowledge is no world at all,United_Kingdom
University of the Arts London,A Creative Constellation,English,,A Creative Constellation,United_Kingdom
Aston University,Forward,English,,Forward,United_Kingdom
"Birkbeck, University of London",In nocte consilium,Latin,In night is counsel,In night is counsel,United_Kingdom
Bangor University,Gorau Dawn Deall,Welsh,The best gift is knowledge,The best gift is knowledge,United_Kingdom
University of Bath,Generatim discite cultus,Latin,Learn each field of study according to its kind,Learn each field of study according to its kind,United_Kingdom
University of Birmingham,Per Ardua Ad Alta,Latin,Through efforts to high things,Through efforts to high things,United_Kingdom
Birmingham City University,Age Quod Agis,Latin,Do what you are doing; attend to your business,Do what you are doing; attend to your business,United_Kingdom
Bournemouth University,Discere Mutari Est,Latin,To Learn is to Change,To Learn is to Change,United_Kingdom
School of Oriental and African Studies,Knowledge is power,English,NA,Knowledge is power,United_Kingdom
University of Bradford,Give invention light,English,,Give invention light,United_Kingdom
University of Bristol,Vim promovet insitam,Latin,(Learning) promotes one's innate power,(Learning) promotes one's innate power,United_Kingdom
University of Buckingham,Alis Volans Propriis,Latin,Flying On Our Own Wings,Flying On Our Own Wings,United_Kingdom
Buckinghamshire New University,Arte et industria,Latin,By Art and Industry,By Art and Industry,United_Kingdom
University of Cambridge,Hinc lucem et pocula sacra,Latin,"From here, light and sacred draughts","From here, light and sacred draughts",United_Kingdom
Canterbury Christ Church University,Veritas liberabit vos,Latin,The truth shall make you free,The truth shall make you free,United_Kingdom
Cardiff University,Gwirionedd Undod A Chytgord,Welsh,"Truth, Unity and Harmony","Truth, Unity and Harmony",United_Kingdom
University of Central Lancashire,Ex solo ad solem,Latin,From the Ground to the Sun,From the Ground to the Sun,United_Kingdom
University of Chester,Qui docet in doctrina,Latin,"He that teacheth, on teaching","He that teacheth, on teaching",United_Kingdom
University of Chichester,Docendo discimus,Latin,"By teaching, we learn","By teaching, we learn",United_Kingdom
"City University, London",To serve mankind,English,,To serve mankind,United_Kingdom
Cranfield University,"Post nubes, lux",Latin,"Out of darkness, light","Out of darkness, light",United_Kingdom
De Montfort University,Excellentia et studium,Latin,Excellence and zeal,Excellence and zeal,United_Kingdom
University of Derby,Experientia Docet,Latin,Experience Teaches,Experience Teaches,United_Kingdom
University of Dundee,Magnificat anima mea dominum,Latin,My soul doth magnify the Lord,My soul doth magnify the Lord,United_Kingdom
Durham University,Fundamenta eius super montibus sanctis,Latin,Her foundations are upon the holy hills,Her foundations are upon the holy hills,United_Kingdom
University of East Anglia,Do Different,English,,Do Different,United_Kingdom
Edge Hill University,In Scientia Opportunitas,Latin,In knowledge there is opportunity,In knowledge there is opportunity,United_Kingdom
Glasgow Caledonian University,For the Common Weal,Scots,For the common good,For the common good,United_Kingdom
University of Gloucestershire,In animo et veritate,Latin,In spirit and truth,In spirit and truth,United_Kingdom
Imperial College London,Scientia imperii decus et tutamen,Latin,Knowledge is the adornment and safeguard of the Empire,Knowledge is the adornment and safeguard of the Empire,United_Kingdom
University of Kent,Cui servire regnare est,Latin,Whom to serve is to reign,Whom to serve is to reign,United_Kingdom
King's College London,Sancte et sapienter,Latin,With holiness and with wisdom,With holiness and with wisdom,United_Kingdom
London School of Economics and Political Science (LSE),Rerum cognoscere causas,Latin,To understand the causes of things,To understand the causes of things,United_Kingdom
"Napier University, Edinburgh",Nisi sapientia frustra,Latin,"Without knowledge, all is in vain","Without knowledge, all is in vain",United_Kingdom
The Open University,Learn and Live,English,,Learn and Live,United_Kingdom
Oxford Brookes University,Excellence in Diversity,English,,Excellence in Diversity,United_Kingdom
"Queen Mary, University of London",Coniunctis viribus,Latin,With united power,With united power,United_Kingdom
"The Robert Gordon University, Aberdeen",Omni nunc arte magistra,Latin,Now by all your mastered arts,Now by all your mastered arts,United_Kingdom
"Royal Holloway, University of London",Esse quam videre,Latin,"To be, rather than to seem","To be, rather than to seem",United_Kingdom
Swansea University,Gweddw crefft heb ei dawn,Welsh,Technical skill is bereft without culture,Technical skill is bereft without culture,United_Kingdom
University College London,Cuncti adsint meritaeque expectent praemia palmae,Latin,Let all come who by merit most deserve reward,Let all come who by merit most deserve reward,United_Kingdom
University of Essex,"Thought the harder, heart the keener",English,,"Thought the harder, heart the keener",United_Kingdom
University of Edinburgh,"Nec temere, nec timide",Latin,Neither rashly nor timidly,Neither rashly nor timidly,United_Kingdom
University of Exeter,Lucem sequimur,Latin,We follow the light,We follow the light,United_Kingdom
University of Glamorgan,Success Through Endeavour,English,,Success Through Endeavour,United_Kingdom
University of Glasgow,"Via, Veritas, Vita",Latin,"The Way, the Truth, and the Life","The Way, the Truth, and the Life",United_Kingdom
Keele University,Thanke God for All,English,,Thanke God for All,United_Kingdom
University of Lancaster,Patet omnibus veritas,Latin,Truth lies open to all,Truth lies open to all,United_Kingdom
University of Leeds,et augebitur scientia,Latin,And Knowledge Will Be Increased,And Knowledge Will Be Increased,United_Kingdom
University of Lincoln,Libertas per Sapientam,Latin,"Through Wisdom, Liberty","Through Wisdom, Liberty",United_Kingdom
University of Liverpool,Haec otia fovent studia,Latin,These days of peace foster learning,These days of peace foster learning,United_Kingdom
Liverpool John Moores University,Fortes fortuna adiuvat,Latin,Fortune Assists the Bold,Fortune Assists the Bold,United_Kingdom
University of Leicester,Ut vitam habeant,Latin,So that they may have life,So that they may have life,United_Kingdom
Loughborough University,"Veritate, Scientia, Labore",Latin,"By Truth, By Science and, By labour","By Truth, By Science and, By labour",United_Kingdom
University of Manchester,"Cognitio, sapientia, hvmanitas",Latin,"Knowledge, wisdom, humanity","Knowledge, wisdom, humanity",United_Kingdom
University of Nottingham,Sapientia urbs conditur,Latin,A city is built on wisdom,A city is built on wisdom,United_Kingdom
University of Oxford,Dominus Illuminatio Mea,Latin,The Lord is my Light,The Lord is my Light,United_Kingdom
Plymouth University,Indagate Fingite Invenite,Latin,"Explore, Dream, Discover","Explore, Dream, Discover",United_Kingdom
University of Salford,Altiora Petamus,Latin,Let us seek higher things,Let us seek higher things,United_Kingdom
University of Sheffield,Rerum cognoscere causas,Latin,To discover the causes of things,To discover the causes of things,United_Kingdom
University of Southampton,Strenuis Ardua Cedunt,Latin,Adversity Yields to Endeavour,Adversity Yields to Endeavour,United_Kingdom
Southampton Solent University,Scintill Tuus Imaginationem,Latin,Spark Your Imagination,Spark Your Imagination,United_Kingdom
Staffordshire University,Create the difference,English,NA,Create the difference,United_Kingdom
University of St Andrews,Αιέν αριστεύειν,Greek,Ever to be the best,Ever to be the best,United_Kingdom
University of Sussex,Be Still and Know,English,,Be Still and Know,United_Kingdom
University of Teesside,Facta Non Verba,Latin,Deeds Not Words,Deeds Not Words,United_Kingdom
University of Wales College of Medicine,Gwybod Medr Iachau,Welsh,Knowledge enables cures,Knowledge enables cures,United_Kingdom
University of Warwick,Mens agitat molem,Latin,Mind over matter,Mind over matter,United_Kingdom
University of Winchester,Wisdom ond Lar,Old English,Wisdom and Knowledge,Wisdom and Knowledge,United_Kingdom
University of York,In limine sapientiæ,Latin,On the threshold of wisdom,On the threshold of wisdom,United_Kingdom
York St John University,Ut Vitam Habeant et Abundantius,Latin,That they have life and have it more abundantly,That they have life and have it more abundantly,United_Kingdom
Abraham Lincoln University,"Care, Connect, Conquer[234]",English,,"Care, Connect, Conquer[234]",United_States
Appalachian State University,Esse Quam Videri[235],Latin,"To be, rather than to seem","To be, rather than to seem",United_States
University of Alaska Fairbanks,Ad Summum,Latin,To the top,To the top,United_States
University of Houston,In tempore,Latin,In time,In time,United_States
Albright College,Veritas et Justita,Latin,Truth and Justice,Truth and Justice,United_States
Alfred University,Fiat Lux[236],Latin,Let there be light,Let there be light,United_States
American University,Pro deo et patria,Latin,For God and Country,For God and Country,United_States
Amherst College,Terras Irradient,Latin,Let them give light to the world,Let them give light to the world,United_States
Anderson University (South Carolina),Humanitatem per crucem alere,Latin,To nourish humanity through the cross,To nourish humanity through the cross,United_States
Andrews University,"Corpus, Mens, Spiritus",Latin,"Body, Mind, Spirit","Body, Mind, Spirit",United_States
Angelo State University,Fiat Lux,Latin,Let there be light,Let there be light,United_States
University of Arkansas,Veritate Duce Progredi,Latin,To Advance with Truth as our Guide,To Advance with Truth as our Guide,United_States
Auburn University,For The Advancement of Science and Arts,English,,For The Advancement of Science and Arts,United_States
Azusa Pacific University,God First,English,,God First,United_States
Barnard College,επομενη τω λογισμω,Greek,Following the Way of Reason,Following the Way of Reason,United_States
Barton College,Habebunt Lumen Vitae,Latin,They shall have the light of life,They shall have the light of life,United_States
Baylor University,"Pro Ecclesia, Pro Texana",Latin,"For Church, For Texas","For Church, For Texas",United_States
Belmont Abbey College,That in all things God may be glorified.,English,,That in all things God may be glorified.,United_States
Benedict College,Veritas et virtus.,Latin,Truth and Virtue,Truth and Virtue,United_States
Berea College,God has made of one blood all peoples of the earth.,English,,God has made of one blood all peoples of the earth.,United_States
Berklee College of Music,Esse quam videri.,Latin,"To be, rather than to seem","To be, rather than to seem",United_States
Bob Jones University,Petimus Credimus,Latin,"We seek, we trust","We seek, we trust",United_States
Boston College,Αιεν αριστευειν,Greek,Ever to Excel,Ever to Excel,United_States
Boston University,"Learning, Virtue, Piety",English,,"Learning, Virtue, Piety",United_States
Bowdoin College,Ut Aquila Versus Coelum,Latin,As an eagle towards the sky,As an eagle towards the sky,United_States
Brandeis University,אמת,Hebrew,"Truth, even unto its innermost parts","Truth, even unto its innermost parts",United_States
University of Bridgeport,Educating for the Real World,English,,Educating for the Real World,United_States
Brigham Young University,'Enter to learn; go forth to serve',English,,'Enter to learn; go forth to serve',United_States
Brown University,In deo speramus,Latin,In God we hope,In God we hope,United_States
University at Buffalo,Mens sana in corpore sano,Latin,Sound mind in a sound body,Sound mind in a sound body,United_States
University of California,Fiat lux,Latin,Let there be light,Let there be light,United_States
Calvin College,"Cor meum tibi offero, Domine, prompte et sincere",Latin,"My heart I offer to you, Lord, promptly and sincerely","My heart I offer to you, Lord, promptly and sincerely",United_States
California Institute of Technology,The truth shall make you free,English,,The truth shall make you free,United_States
"California State University, Chico",Today decides tomorrow,English,,Today decides tomorrow,United_States
Caldwell College,Sapientia Et Scientia,Latin,Wisdom and Knowledge,Wisdom and Knowledge,United_States
Campbell University,Ad astra per aspera,Latin,To the stars through difficulties,To the stars through difficulties,United_States
Campbellsville University,Find Your Calling,English,,Find Your Calling,United_States
Canisius College,Where leaders are made,English,,Where leaders are made,United_States
Cardinal Stritch University,Ut Probetis Potiora,Latin,To value the better things,To value the better things,United_States
Carnegie Mellon University,My heart is in the work,English,,My heart is in the work,United_States
Catawba College,"Scholarship, Character, Culture, Service",English,,"Scholarship, Character, Culture, Service",United_States
The Catholic University of America,Deus Lux Mea Est,Latin,God Is My Light,God Is My Light,United_States
University of Central Florida,Reach for the Stars,English,NA,Reach for the Stars,United_States
Central Michigan University,"Sapientia, Virtus, Amicitia[237]",Latin,"Wisdom, Virtue, and Friendship","Wisdom, Virtue, and Friendship",United_States
College of Charleston,Sapientia ipsa libertas,Latin,Knowledge itself is liberty,Knowledge itself is liberty,United_States
University of Chicago,Crescat scientia; vita excolatur,Latin,Let knowledge grow from more to more; and so be human life enriched,Let knowledge grow from more to more; and so be human life enriched,United_States
Chowan University,Lux et Veritas,Latin,Light and Truth,Light and Truth,United_States
Christian Brothers University,Virtus et Scientia,Latin,Character and Knowledge,Character and Knowledge,United_States
University of Cincinnati,Juncta Juvant; Alta Petit,Latin,Strength in Unity; She Seeks the Heights,Strength in Unity; She Seeks the Heights,United_States
Claremont McKenna College,Crescit cum commercio civitas,Latin,Civilization prospers with commerce,Civilization prospers with commerce,United_States
Clemson University,Who shall separate us now?,English,Who shall separate us now?,Who shall separate us now?,United_States
Colby College,Lux Mentis Scientia,Latin,Knowledge is the Light of the Mind,Knowledge is the Light of the Mind,United_States
Colgate University,Deo ac Veritati,Latin,For God and for Truth,For God and for Truth,United_States
College of Mount Saint Vincent,Bonitatem et disciplinam et scientiam doce me.,Latin,Teach me goodness and discipline and knowledge.,Teach me goodness and discipline and knowledge.,United_States
College of Wooster,"Scientia et religio, ex uno fonte.",Latin,Knowledge and religion from one source.,Knowledge and religion from one source.,United_States
University of Colorado,Λαμψατω το φώσ υμών,Greek,Let your light shine,Let your light shine,United_States
Colorado Christian University,χάρις καὶ ἀλήθεια,Greek,Grace and truth,Grace and truth,United_States
Colorado College,Scientia et Disciplina,Latin,Knowledge and Training,Knowledge and Training,United_States
Columbia University,In lumine Tuo videbimus lumen,Latin,In Thy light shall we see light,In Thy light shall we see light,United_States
Cornell University,"I would found an institution where any person can find instruction in any study – Ezra Cornell, 1865",English,,"I would found an institution where any person can find instruction in any study – Ezra Cornell, 1865",United_States
Crichton College,Think. Grow. Change.,English,,Think. Grow. Change.,United_States
University of Dallas,"Veritatem, Justitam diligite",Latin,Love ye Truth and Justice,Love ye Truth and Justice,United_States
Dartmouth College,Vox clamantis in deserto,Latin,The voice of one crying in the wilderness,The voice of one crying in the wilderness,United_States
Davidson College,Alenda Lux Ubi Orta Libertas,Latin,Let Learning Be Cherished Where Liberty Has Arisen,Let Learning Be Cherished Where Liberty Has Arisen,United_States
University of Denver,Pro Scientia et Religione,Latin,For Knowledge and Religion,For Knowledge and Religion,United_States
DePaul University,Viam sapientiae monstrabo tibi.,Latin,I will show you the way of wisdom.,I will show you the way of wisdom.,United_States
Dickinson College,Pietate et doctrina tuta libertas,Latin,Freedom is made safe through character and learning,Freedom is made safe through character and learning,United_States
Dominican University (Illinois),Caritas et Veritas,Latin,Love and Truth,Love and Truth,United_States
Drew University,δωρεαν ελαβετε δωρεαν δοτε,Greek,"Freely you have received, Freely give (Matthew 10:8)","Freely you have received, Freely give (Matthew 10:8)",United_States
Drexel University,"Science, Industry, Art",English,,"Science, Industry, Art",United_States
Duke University,Eruditio et Religio,Latin,Erudition and Religion,Erudition and Religion,United_States
Duquesne University,Spiritus est qui vivificat,Latin,It is the spirit that gives life,It is the spirit that gives life,United_States
East Carolina University,Servire,Latin,To Serve,To Serve,United_States
Eastern Kentucky University,"Get wisdom, get understanding",English,,"Get wisdom, get understanding",United_States
Eastern Nazarene College,"Via, Veritas, Vita",Latin,"The Way, the Truth, and the Life","The Way, the Truth, and the Life",United_States
Emory University,Cor prudentis possedibit scientia,Latin,The wise heart will possess knowledge,The wise heart will possess knowledge,United_States
The Evergreen State College,Omnia Extares,Latin,Let It All Hang Out,Let It All Hang Out,United_States
Florida A&M University,Excellence with caring,English,NA,Excellence with caring,United_States
The Florida State University,"Vires, Artes, Mores",Latin,"Strength, Skill, Character","Strength, Skill, Character",United_States
University of Florida,Civium in moribus rei publicae salus,Latin,The welfare of the state depends upon the morals of its citizens,The welfare of the state depends upon the morals of its citizens,United_States
Fontbonne University,Virtus et Scientia,Latin,Virtue and Knowledge,Virtue and Knowledge,United_States
Fordham University,Sapientia et Doctrina,Latin,Wisdom and Learning,Wisdom and Learning,United_States
Furman University,Christo et Doctrinae,Latin,For Christ and Learning,For Christ and Learning,United_States
Gallaudet University,Ethpatach,Syriac,Be opened(Mark 7:34),Be opened(Mark 7:34),United_States
Gardner-Webb University,Pro Deo et Humanitate,Latin,For God and Humanity,For God and Humanity,United_States
George Mason University,Freedom and Learning,English,,Freedom and Learning,United_States
George Washington University,Deus Nobis Fiducia,Latin,In God Our Trust,In God Our Trust,United_States
Georgetown University,Utraque Unum,Latin,Both into One,Both into One,United_States
University of Georgia,Et docere et rerum exquirere causas,Latin,"To teach, to serve, and to inquire into the nature of things","To teach, to serve, and to inquire into the nature of things",United_States
Georgia Institute of Technology,"Progress and Service(formerly ""To Know, To Do, To Be"")",English,,"Progress and Service(formerly ""To Know, To Do, To Be"")",United_States
University of Great Falls,"In lumine tuo, videmus lumen",Latin,In Your Light we see the light,In Your Light we see the light,United_States
Greensboro College,Palma Non Sine Pulvere,Latin,No reward without effort,No reward without effort,United_States
Greenville Technical College,Clavis Ad Futura,Latin,keys to the future,keys to the future,United_States
Grinnell College,Veritas et Humanitas,Latin,Truth and Humanity,Truth and Humanity,United_States
Guilford College,I strive for wisdom and virtue,English,,I strive for wisdom and virtue,United_States
Hamilton College,Γνῶθι Σεαυτόν,Greek,Know Thyself,Know Thyself,United_States
Hampshire College,Non Satis Scire,Latin,To Know Is Not Enough,To Know Is Not Enough,United_States
Harvard University,Veritas[238],Latin,Truth,Truth,United_States
University of Hawai’i System,Ma luna a'e o na lahui a pau ke ola o ke kanaka[239],Hawaiian,Above all nations is humanity,Above all nations is humanity,United_States
Hendrix College,Eις ανδρα τελειον,Greek,Unto the whole person(Ephesians 4:13),Unto the whole person(Ephesians 4:13),United_States
High Point University,Nil Sine Numine,Latin,Nothing Without Divine Guidance,Nothing Without Divine Guidance,United_States
Hillsdale College,Virtus Tentanime Gaudet,Latin,Strength Rejoices in the Challenge,Strength Rejoices in the Challenge,United_States
Hobart College,Disce,Latin,Learn,Learn,United_States
Howard University,Veritas et Utilitas,Latin,Truth and Service,Truth and Service,United_States
Huntington University,The Truth Will Make You Free,English,,The Truth Will Make You Free,United_States
University of Illinois,Learning and Labor,English,,Learning and Labor,United_States
Illinois State University,Gladly we Learn and Teach,English,,Gladly we Learn and Teach,United_States
Indiana University,Lux et Veritas,Latin,Light and Truth,Light and Truth,United_States
University of Indianapolis,Education for Service,English,,Education for Service,United_States
International Academy of Science,Scientia est Potentia,Latin,Knowledge is Power,Knowledge is Power,United_States
Iona College,Certa Bonum Certamen,Latin,Fight the good fight,Fight the good fight,United_States
Iowa State University,Science with Practice,English,,Science with Practice,United_States
James Madison University,Knowledge is Liberty,English,,Knowledge is Liberty,United_States
John Jay College of Criminal Justice,Educating of Justice,English,,Educating of Justice,United_States
Johns Hopkins University,Veritas vos liberabit,Latin,The truth shall make you free,The truth shall make you free,United_States
Johnson C. Smith University,Sit Lux,Latin,Let There Be Light,Let There Be Light,United_States
Johnson State College,Docendo discimus,Latin,"By teaching, we learn","By teaching, we learn",United_States
Juniata College,Think About Who You Are,English,,Think About Who You Are,United_States
Kalamazoo College,Lux esto,Latin,Be light,Be light,United_States
Kansas State University,Rule by Obeying Nature's Laws,English,,Rule by Obeying Nature's Laws,United_States
University of Kansas,Videbo visionem hanc magnam quare non comburatur rubus,Latin,"I will see this great sight, how the bush does not burn","I will see this great sight, how the bush does not burn",United_States
University of Kentucky,"Dream, Challenge, Succeed",English,,"Dream, Challenge, Succeed",United_States
Lehigh University,Homo minister et interpres naturae,Latin,"Man, the servant and interpreter of nature","Man, the servant and interpreter of nature",United_States
Liberty University,Knowledge Aflame,English,,Knowledge Aflame,United_States
Lindenwood University,Natura et Doctrina,Latin,Character and Learning,Character and Learning,United_States
Lees-McRae College,"In Montibus, Ex Montibus, Pro Montibus",Latin,"In the mountains, of the mountains, for the mountains","In the mountains, of the mountains, for the mountains",United_States
Lenoir-Rhyne University,ἡ ἀλήθεια ἐλευθερώσει ὑμᾶς,Greek,The truth shall set you free,The truth shall set you free,United_States
Lesley University,Perissem Ni Perstitissem,Latin,I had perished had I not persisted,I had perished had I not persisted,United_States
Loras College,Pro Deo et Patria,Latin,For God and Country,For God and Country,United_States
Loyola Marymount University,Ad maiorem Dei gloriam — Tua Luce Dirige,Latin,For the greater glory of God. — Direct us by thy light.,For the greater glory of God. — Direct us by thy light.,United_States
Loyola University Chicago,Ad Maiorem Dei Gloriam,Latin,For the greater glory of God,For the greater glory of God,United_States
University of Louisiana at Lafayette,"Fortiter, Feliciter, Fideliter",Latin,"Boldly, Happily, Faithfully","Boldly, Happily, Faithfully",United_States
University of Louisiana at Monroe,Seek the Truth,English,,Seek the Truth,United_States
Louisiana Tech University,"Union, Confidence, Justice",English,,"Union, Confidence, Justice",United_States
Macalester College,Natura et Revelatio Coeli Gemini,Latin,Nature and Revelation are twin sisters of heaven,Nature and Revelation are twin sisters of heaven,United_States
Manhattan College,Signum Fidei,Latin,Sign of Faith,Sign of Faith,United_States
Marietta College,Lux Et Veritas,Latin,Light and Truth,Light and Truth,United_States
University of Mary,Lumen Vitae,Latin,The Light of Life,The Light of Life,United_States
University of Maryland,(no official motto)[240],,,,United_States
Marylhurst University,Cor Sapientis Quaerit Doctrinam,Latin,The wise of heart seek knowledge(Proverbs XV),The wise of heart seek knowledge(Proverbs XV),United_States
Massachusetts Institute of Technology,Mens et Manus,Latin,Mind and Hand,Mind and Hand,United_States
University of Massachusetts,Ense petit placidam sub libertate quietam,Latin,"By the sword we seek peace, but peace only under liberty","By the sword we seek peace, but peace only under liberty",United_States
University of Memphis,Driven by doing.,English,,Driven by doing.,United_States
Messiah College,Christ Preeminent,English,,Christ Preeminent,United_States
Methodist University,Veritas et Virtus,Latin,Truth and Virtue,Truth and Virtue,United_States
Miami University,Prodesse Quam Conspici,Latin,To Accomplish Rather Than To Be Conspicuous,To Accomplish Rather Than To Be Conspicuous,United_States
University of Miami,Magnus est Veritas,Latin,Great is the Truth,Great is the Truth,United_States
University of Michigan,Artes Scientia Veritas,Latin,"Art, Science, Truth","Art, Science, Truth",United_States
Middlebury College,Scientia et Virtus,Latin,Knowledge and Virtue,Knowledge and Virtue,United_States
University of Minnesota,Commune Vinculum Omnibus Artibus,Latin,A Common Bond for All the Arts,A Common Bond for All the Arts,United_States
Mississippi College,Veritas et Virtus,Latin,Truth and Virtue,Truth and Virtue,United_States
University of Missouri,Salus Populi,Latin,The Welfare of the People,The Welfare of the People,United_States
Montana State University - Billings,Access and Excellence,English,,Access and Excellence,United_States
Montclair State University,Carpe Diem,Latin,Seize The day,Seize The day,United_States
Montreat College,Esse Quam Videri,Latin,"To Be, Rather Than To Seem","To Be, Rather Than To Seem",United_States
Mount Olive College,Collegium Christianum Pro Homnibus et Mulieribus,Latin,A Christian College for Men and Women,A Christian College for Men and Women,United_States
Morehead State University,Lux,Latin,Light,Light,United_States
Morehouse College,Et Facta est Lux,Latin,And There Was Light,And There Was Light,United_States
University of Nevada Las Vegas,Omnia Pro Patria,Latin,"Everything, all things for country","Everything, all things for country",United_States
University of New Mexico,Lux Hominum Vita,Latin,Light of the life of Mankind,Light of the life of Mankind,United_States
New York University,Perstare et Praestare,Latin,To Persevere and to Excel,To Persevere and to Excel,United_States
State University of New York,"To learn, to search, to serve",English,,"To learn, to search, to serve",United_States
Niagara University,Ut Omnes Te Cognoscant,Latin,That All May Know You,That All May Know You,United_States
University of North Carolina at Asheville,Levo Oculos Meos In Montes,Latin,I Lift My Eyes to the Mountains,I Lift My Eyes to the Mountains,United_States
University of North Carolina at Chapel Hill,Lux Libertas,Latin,"Light, Liberty","Light, Liberty",United_States
University of North Carolina at Greensboro,Service,English,,Service,United_States
University of North Carolina at Wilmington,Discere Aude,Latin,Dare to Learn,Dare to Learn,United_States
University of North Dakota,Lux et Lex,Latin,Light and law,Light and law,United_States
North Dakota State University,For the Land and its People,English,,For the Land and its People,United_States
University of Northern Colorado,Sapientia In Aeterum Est,Latin,Wisdom is eternal,Wisdom is eternal,United_States
Northeastern University,"Lux, Veritas, Virtus",Latin,"Light, Truth, Courage","Light, Truth, Courage",United_States
Northwestern University,Quaecumque sunt vera,Latin,Whatsoever things are true,Whatsoever things are true,United_States
Norwich University,I Will Try[241],English,,I Will Try[241],United_States
University of Notre Dame,"Vita, Dulcedo, Spes",Latin,"Mary, our Life, Sweetness, and Hope","Mary, our Life, Sweetness, and Hope",United_States
Ohio University,"Religio Doctrina Civilitas, Prae Omnibus Virtus",Latin,"Religion, Learning, Civility; Above All, Virtue","Religion, Learning, Civility; Above All, Virtue",United_States
Ohio State University,Disciplina in civitatem,Latin,Education for Citizenship,Education for Citizenship,United_States
Old Dominion University,A Portal to New Worlds,English,,A Portal to New Worlds,United_States
University of Oregon,Mens Agitat Molem,Latin,Minds Move Mountains,Minds Move Mountains,United_States
Peace College,Esse Quam Videri,Latin,"To be, rather than to seem","To be, rather than to seem",United_States
University of Pennsylvania,Leges sine moribus vanae,Latin,Laws without morals are useless,Laws without morals are useless,United_States
Pennsylvania State University,Making life better,English,,Making life better,United_States
Pepperdine University,"Freely you have received, Freely give (Matthew 10:8)",English,,"Freely you have received, Freely give (Matthew 10:8)",United_States
University of Pittsburgh,Veritas et Virtus,Latin,Truth and Virtue,Truth and Virtue,United_States
Point Park University,"Pro Arte, Pro Communitate, Pro Professione'",Latin,"For Knowledge, For Community, For Career","For Knowledge, For Community, For Career",United_States
Princeton University,Dei sub numine viget,Latin,Under God's power she flourishes,Under God's power she flourishes,United_States
Principia College,"As the sowing, the reaping",English,,"As the sowing, the reaping",United_States
Providence College,Veritas,Latin,Truth,Truth,United_States
Purdue University,"""Education, Research, Service""",English,,"""Education, Research, Service""",United_States
Queens University of Charlotte,Non ministrari sed ministrare,Latin,Not to be served but to serve,Not to be served but to serve,United_States
Queens College,Discimus ut serviamus,Latin,We learn in order to serve,We learn in order to serve,United_States
Rensselaer Polytechnic Institute,Knowledge and Thoroughness,English,,Knowledge and Thoroughness,United_States
University of Rhode Island,Think big. We do.,English,,Think big. We do.,United_States
Rice University,"Letters, Science, Art",English,,"Letters, Science, Art",United_States
University of Richmond,Verbum Vitae et Lumen Scientiae,Latin,The Word of Life and the Light of Knowledge,The Word of Life and the Light of Knowledge,United_States
Roanoke Bible College,Set for the Defense of the Gospel,English,,Set for the Defense of the Gospel,United_States
University of Rochester,Meliora,Latin,Ever better,Ever better,United_States
Rollins College,Fiat Lux,Latin,Let there be light,Let there be light,United_States
Rose-Hulman Institute of Technology,Labor et scientia,Latin,Labor and knowledge,Labor and knowledge,United_States
Rutgers University,Sol iustitiae et occidentem illustra,Latin,"Sun of righteousness, shine upon the West, also","Sun of righteousness, shine upon the West, also",United_States
Salem College,"Reach Within, Shape the Future",English,,"Reach Within, Shape the Future",United_States
University of San Francisco,Pro Urbe et Universitate,Latin,For City and University,For City and University,United_States
San Francisco State University,Experientia Docet,Latin,Experience Teaches,Experience Teaches,United_States
Seton Hall University,Hazard Zet Forward,Anglo-Norman/Archaic English,"Despite hazard, forward","Despite hazard, forward",United_States
Sistema Universitario Ana G. Méndez,Studium ral lux,Latin,Light of Enlightenment,Light of Enlightenment,United_States
Skidmore College,Scuto amoris divini,Latin,Under the shield of divine love,Under the shield of divine love,United_States
Smith College,Ἐν τῇ ἀρετῇ τὴν γνῶσιν,Greek,"In virtue, knowledge","In virtue, knowledge",United_States
The University of the South,"Ecce quam bonum, et quam iucundum habitare fratres in unum",Latin,"Behold, how good and joyful a thing it is, for brethren to dwell together in unity!","Behold, how good and joyful a thing it is, for brethren to dwell together in unity!",United_States
University of South Carolina,Emollit Mores Nec Sinit Esse Feros,Latin,Learning humanizes character and does not permit it to be cruel,Learning humanizes character and does not permit it to be cruel,United_States
University of Southern California,Palmam Qui Meruit Ferat,Latin,Let him who deserves it bear away the palm,Let him who deserves it bear away the palm,United_States
Southern Illinois University Carbondale,Deo Volente,Latin,God Willing,God Willing,United_States
Southern Methodist University,Veritas Liberabit Vos,Latin,The truth will make you free.,The truth will make you free.,United_States
Southwestern University,Non Quis Sed Quid,Latin,Not who but what,Not who but what,United_States
St. Augustine's College (Raleigh),Veritas vos liberabit,Latin,The truth will set you free,The truth will set you free,United_States
St. Bonaventure University,In Sanctitate et Doctrina,Latin,In Holiness and Learning,In Holiness and Learning,United_States
St. John's University (New York City),Educatio Christiana Animae Perfectio,Latin,A Christian Education Perfects the Soul,A Christian Education Perfects the Soul,United_States
St. John Fisher College,Bonitatem et Disciplinam et Scientiam Doce Me,Latin,"Teach me goodness, discipline, and knowledge.","Teach me goodness, discipline, and knowledge.",United_States
